epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.242,1.62298,2.48284,1.31522,0.60148,0.36776,0.32963,0.19101,1.38853,1.63293,1.32032,0.0002,0.0002,0.0002
2,422.043,1.30436,0.94879,1.14486,0.53692,0.53417,0.57926,0.3181,1.29528,1.11374,1.28834,0.00038294,0.00038294,0.00038294
3,633.823,1.3141,0.81389,1.18097,0.71401,0.71412,0.78797,0.41186,1.44618,0.84186,1.38555,0.00053816,0.00053816,0.00053816
4,845.35,1.27097,0.76181,1.17697,0.77791,0.76077,0.83314,0.52714,1.33138,0.78182,1.31756,0.00066566,0.00066566,0.00066566
5,1055.65,1.25148,0.69873,1.16363,0.7548,0.80964,0.83024,0.53889,1.39015,0.74729,1.36285,0.000736,0.000736,0.000736
6,1267.58,1.1857,0.6847,1.20052,0.84086,0.78381,0.87133,0.55808,1.34806,0.6721,1.34346,0.00067,0.00067,0.00067
7,1478.32,1.14442,0.61318,1.18538,0.82278,0.80829,0.89252,0.56214,1.37193,0.6701,1.36037,0.000604,0.000604,0.000604
8,1689.15,1.10064,0.54673,1.16554,0.76667,0.90054,0.91093,0.55903,1.36507,0.59412,1.35596,0.000538,0.000538,0.000538
9,1899.48,1.05689,0.5158,1.13237,0.85321,0.86888,0.91704,0.57113,1.32799,0.58528,1.33046,0.000472,0.000472,0.000472
10,2109.92,1.03954,0.4964,1.11363,0.89116,0.84431,0.92511,0.58449,1.29279,0.56022,1.31521,0.000406,0.000406,0.000406
11,2320.98,1.01571,0.45887,1.10771,0.87694,0.81311,0.9053,0.60062,1.30102,0.53458,1.33057,0.00034,0.00034,0.00034
12,2531.18,0.95807,0.43986,1.08155,0.84818,0.87218,0.92041,0.5884,1.33195,0.53917,1.33937,0.000274,0.000274,0.000274
13,2741.16,0.91588,0.4014,1.0492,0.85651,0.79946,0.92698,0.65839,1.30363,0.51862,1.32387,0.000208,0.000208,0.000208
14,2954.57,0.88765,0.40159,1.04548,0.87748,0.80292,0.91615,0.65525,1.29328,0.49724,1.31832,0.000142,0.000142,0.000142
15,3171.96,0.85539,0.37556,1.01927,0.87923,0.85441,0.91768,0.63419,1.29469,0.50093,1.33392,7.6e-05,7.6e-05,7.6e-05
