epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.246,1.62298,2.48284,1.31522,0.60148,0.36776,0.32963,0.19101,1.38853,1.63293,1.32032,0.0002,0.0002,0.0002
2,423.895,1.30489,0.94997,1.1461,0.67569,0.47012,0.55404,0.29183,1.2969,1.10258,1.28944,0.00039647,0.00039647,0.00039647
3,628.339,1.31444,0.82631,1.18276,0.63975,0.68122,0.73043,0.36858,1.49999,0.86696,1.42252,0.00057908,0.00057908,0.00057908
4,832.649,1.28286,0.76338,1.18197,0.67798,0.87767,0.8539,0.47577,1.32194,0.77244,1.3539,0.00074783,0.00074783,0.00074783
5,1036.37,1.25708,0.71921,1.15843,0.80072,0.83177,0.89016,0.50085,1.41381,0.76291,1.40532,0.000868,0.000868,0.000868
6,1240.76,1.2146,0.65429,1.12916,0.88711,0.33715,0.46496,0.25252,1.43301,1.30833,1.39004,0.000835,0.000835,0.000835
7,1446.9,1.17672,0.61128,1.12096,0.83684,0.86873,0.90931,0.64608,1.33026,0.67169,1.33743,0.000802,0.000802,0.000802
8,1651.11,1.1408,0.58974,1.11425,0.82566,0.87377,0.8971,0.56975,1.38328,0.68465,1.38128,0.000769,0.000769,0.000769
9,1855.53,1.1376,0.60808,1.07722,0.66749,0.75456,0.78051,0.51266,1.34651,1.76454,1.33806,0.000736,0.000736,0.000736
10,2061.26,1.09575,0.54835,1.09353,0.85544,0.72873,0.85162,0.51593,1.33568,0.62179,1.34128,0.000703,0.000703,0.000703
11,2265.63,1.06897,0.53385,1.04675,0.78487,0.88624,0.87195,0.49301,1.32622,0.57269,1.33454,0.00067,0.00067,0.00067
12,2469.23,1.02977,0.52134,1.06889,0.85179,0.85383,0.88873,0.56274,1.32912,0.569,1.31632,0.000637,0.000637,0.000637
13,2673.33,1.05055,0.51575,1.06891,0.82515,0.8263,0.88222,0.55426,1.3372,0.6065,1.34193,0.000604,0.000604,0.000604
14,2877.25,0.99128,0.48603,1.04468,0.92397,0.85897,0.90806,0.56797,1.34229,0.53955,1.32138,0.000571,0.000571,0.000571
15,3081.86,0.98636,0.47413,1.04416,0.82631,0.83823,0.87986,0.53802,1.35819,0.55999,1.36048,0.000538,0.000538,0.000538
16,3288.2,0.97961,0.46558,1.03261,0.87726,0.81123,0.87585,0.56974,1.31129,0.54653,1.32077,0.000505,0.000505,0.000505
17,3492.43,0.94466,0.46651,1.02137,0.88591,0.8337,0.89566,0.59271,1.37537,0.55691,1.38721,0.000472,0.000472,0.000472
18,3696.78,0.9184,0.43587,1.00661,0.81247,0.80802,0.87752,0.60112,1.32075,0.54797,1.33411,0.000439,0.000439,0.000439
19,3900.35,0.89685,0.42274,0.99319,0.72772,0.93021,0.91156,0.61229,1.33028,0.54137,1.34337,0.000406,0.000406,0.000406
20,4104.83,0.89245,0.42511,0.97331,0.89517,0.9227,0.9254,0.6181,1.35227,0.50292,1.36874,0.000373,0.000373,0.000373
21,4310.78,0.82396,0.38958,1.00414,0.90887,0.88438,0.91609,0.6389,1.34615,0.51226,1.35435,0.00034,0.00034,0.00034
22,4515.9,0.78476,0.35921,1.00061,0.91284,0.88515,0.91386,0.61671,1.33206,0.49112,1.35824,0.000307,0.000307,0.000307
23,4720.14,0.77116,0.3462,0.9769,0.89802,0.8795,0.91011,0.61622,1.32715,0.49196,1.38639,0.000274,0.000274,0.000274
24,4924.29,0.75718,0.35617,0.96872,0.90356,0.87406,0.91867,0.57763,1.30843,0.49589,1.38039,0.000241,0.000241,0.000241
25,5127.99,0.70707,0.33083,0.95845,0.89192,0.87881,0.91684,0.61651,1.30879,0.49423,1.4115,0.000208,0.000208,0.000208
26,5330.41,0.69701,0.32608,0.94414,0.8908,0.84846,0.89799,0.59141,1.32053,0.49095,1.42068,0.000175,0.000175,0.000175
27,5532.52,0.66774,0.31696,0.92229,0.89591,0.84497,0.88197,0.58218,1.31789,0.50697,1.41041,0.000142,0.000142,0.000142
28,5740.82,0.63021,0.29816,0.91602,0.90243,0.83804,0.88502,0.57968,1.32071,0.49725,1.43014,0.000109,0.000109,0.000109
29,5949.94,0.62414,0.29534,0.91686,0.9046,0.84215,0.89734,0.58375,1.32707,0.50038,1.42844,7.6e-05,7.6e-05,7.6e-05
30,6159.78,0.58228,0.28547,0.89912,0.90425,0.84012,0.90534,0.60266,1.32841,0.49953,1.43176,4.3e-05,4.3e-05,4.3e-05
